assessor_llm,assessor_char_id,assessor_char_name,target_llm,target_char_id,target_char_name,round_label,gt_E,gt_N,gt_C,gt_A,gt_O,inf_E,inf_N,inf_C,inf_A,inf_O,err_E,err_N,err_C,err_A,err_O,MAE,num_turns,timestamp
claude,1000507,Connor Mark Sousa,chatgpt,1022936,Marty,swapped,100.0,75.0,0.0,0.0,25.0,35.0,72.0,45.0,42.0,78.0,65.0,3.0,45.0,42.0,53.0,41.6,10,2026-02-08T16:50:01.635443
chatgpt,1000507,Connor Mark Sousa,deepseek,1022936,Marty,original,100.0,75.0,0.0,0.0,25.0,35.0,78.0,55.0,88.0,82.0,65.0,3.0,55.0,88.0,57.0,53.6,10,2026-02-08T16:52:29.682108
deepseek,1022936,Marty,chatgpt,1000507,Connor Mark Sousa,original,25.0,100.0,25.0,100.0,75.0,35.0,75.0,60.0,85.0,70.0,10.0,25.0,35.0,15.0,5.0,18.0,10,2026-02-08T16:52:36.338143
chatgpt,1022936,Marty,deepseek,1000507,Connor Mark Sousa,swapped,25.0,100.0,25.0,100.0,75.0,15.0,75.0,60.0,85.0,95.0,10.0,25.0,35.0,15.0,20.0,21.0,10,2026-02-08T16:54:13.356796
deepseek,1000507,Connor Mark Sousa,chatgpt,1022936,Marty,swapped,100.0,75.0,0.0,0.0,25.0,15.0,75.0,60.0,85.0,90.0,85.0,0.0,60.0,85.0,65.0,59.0,10,2026-02-08T16:54:19.147114
chatgpt,1000507,Connor Mark Sousa,grok,1022936,Marty,original,100.0,75.0,0.0,0.0,25.0,80.0,40.0,65.0,85.0,90.0,20.0,35.0,65.0,85.0,65.0,54.0,10,2026-02-08T16:57:16.430203
grok,1022936,Marty,chatgpt,1000507,Connor Mark Sousa,original,25.0,100.0,25.0,100.0,75.0,20.0,80.0,60.0,70.0,85.0,5.0,20.0,35.0,30.0,10.0,20.0,10,2026-02-08T16:57:21.636251
chatgpt,1022936,Marty,grok,1000507,Connor Mark Sousa,swapped,25.0,100.0,25.0,100.0,75.0,25.0,72.0,63.0,92.0,70.0,0.0,28.0,38.0,8.0,5.0,15.8,10,2026-02-08T16:59:00.714806
grok,1000507,Connor Mark Sousa,chatgpt,1022936,Marty,swapped,100.0,75.0,0.0,0.0,25.0,30.0,80.0,60.0,85.0,50.0,70.0,5.0,60.0,85.0,25.0,49.0,10,2026-02-08T16:59:04.389352
claude,1000507,Connor Mark Sousa,deepseek,1022936,Marty,original,100.0,75.0,0.0,0.0,25.0,20.0,82.0,65.0,85.0,75.0,80.0,7.0,65.0,85.0,50.0,57.4,10,2026-02-08T17:02:08.100775
deepseek,1022936,Marty,claude,1000507,Connor Mark Sousa,original,25.0,100.0,25.0,100.0,75.0,25.0,85.0,70.0,90.0,65.0,0.0,15.0,45.0,10.0,10.0,16.0,10,2026-02-08T17:02:14.091340
claude,1022936,Marty,deepseek,1000507,Connor Mark Sousa,swapped,25.0,100.0,25.0,100.0,75.0,88.0,55.0,45.0,72.0,75.0,63.0,45.0,20.0,28.0,0.0,31.2,10,2026-02-08T17:04:34.760564
deepseek,1000507,Connor Mark Sousa,claude,1022936,Marty,swapped,100.0,75.0,0.0,0.0,25.0,85.0,40.0,55.0,75.0,70.0,15.0,35.0,55.0,75.0,45.0,45.0,10,2026-02-08T17:04:40.224980
claude,1000507,Connor Mark Sousa,grok,1022936,Marty,original,100.0,75.0,0.0,0.0,25.0,65.0,25.0,70.0,85.0,88.0,35.0,50.0,70.0,85.0,63.0,60.6,10,2026-02-08T17:07:35.273015
grok,1022936,Marty,claude,1000507,Connor Mark Sousa,original,25.0,100.0,25.0,100.0,75.0,30.0,80.0,60.0,85.0,90.0,5.0,20.0,35.0,15.0,15.0,18.0,10,2026-02-08T17:07:40.039167
claude,1022936,Marty,grok,1000507,Connor Mark Sousa,swapped,25.0,100.0,25.0,100.0,75.0,12.0,88.0,45.0,82.0,78.0,13.0,12.0,20.0,18.0,3.0,13.2,10,2026-02-08T17:11:09.862723
grok,1000507,Connor Mark Sousa,claude,1022936,Marty,swapped,100.0,75.0,0.0,0.0,25.0,10.0,85.0,40.0,70.0,75.0,90.0,10.0,40.0,70.0,50.0,52.0,10,2026-02-08T17:11:13.869961
deepseek,1000507,Connor Mark Sousa,grok,1022936,Marty,original,100.0,75.0,0.0,0.0,25.0,85.0,20.0,40.0,95.0,90.0,15.0,55.0,40.0,95.0,65.0,54.0,10,2026-02-08T17:12:25.447886
grok,1022936,Marty,deepseek,1000507,Connor Mark Sousa,original,25.0,100.0,25.0,100.0,75.0,15.0,85.0,60.0,80.0,70.0,10.0,15.0,35.0,20.0,5.0,17.0,10,2026-02-08T17:12:29.402089
deepseek,1022936,Marty,grok,1000507,Connor Mark Sousa,swapped,25.0,100.0,25.0,100.0,75.0,25.0,75.0,65.0,85.0,70.0,0.0,25.0,40.0,15.0,5.0,17.0,10,2026-02-08T17:14:04.179637
grok,1000507,Connor Mark Sousa,deepseek,1022936,Marty,swapped,100.0,75.0,0.0,0.0,25.0,20.0,85.0,60.0,75.0,70.0,80.0,10.0,60.0,75.0,45.0,54.0,10,2026-02-08T17:14:07.578381
chatgpt,1000521,Evan Liam MacDonald,claude,1070394,"Ao Lie ""Bái Lóng Mǎ""",original,50.0,0.0,25.0,100.0,100.0,30.0,60.0,80.0,85.0,75.0,20.0,60.0,55.0,15.0,25.0,35.0,10,2026-02-08T17:17:52.462356
claude,1070394,"Ao Lie ""Bái Lóng Mǎ""",chatgpt,1000521,Evan Liam MacDonald,original,0.0,100.0,100.0,0.0,0.0,25.0,65.0,75.0,85.0,72.0,25.0,35.0,25.0,85.0,72.0,48.4,10,2026-02-08T17:18:02.763456
chatgpt,1070394,"Ao Lie ""Bái Lóng Mǎ""",claude,1000521,Evan Liam MacDonald,swapped,0.0,100.0,100.0,0.0,0.0,15.0,65.0,80.0,70.0,95.0,15.0,35.0,20.0,70.0,95.0,47.0,10,2026-02-08T17:21:42.411459
claude,1000521,Evan Liam MacDonald,chatgpt,1070394,"Ao Lie ""Bái Lóng Mǎ""",swapped,50.0,0.0,25.0,100.0,100.0,15.0,68.0,82.0,72.0,88.0,35.0,68.0,57.0,28.0,12.0,40.0,10,2026-02-08T17:21:51.614323
chatgpt,1000521,Evan Liam MacDonald,deepseek,1070394,"Ao Lie ""Bái Lóng Mǎ""",original,50.0,0.0,25.0,100.0,100.0,20.0,45.0,80.0,85.0,90.0,30.0,45.0,55.0,15.0,10.0,31.0,10,2026-02-08T17:23:27.879905
deepseek,1070394,"Ao Lie ""Bái Lóng Mǎ""",chatgpt,1000521,Evan Liam MacDonald,original,0.0,100.0,100.0,0.0,0.0,25.0,40.0,85.0,70.0,65.0,25.0,60.0,15.0,70.0,65.0,47.0,10,2026-02-08T17:23:33.700393
chatgpt,1070394,"Ao Lie ""Bái Lóng Mǎ""",deepseek,1000521,Evan Liam MacDonald,swapped,0.0,100.0,100.0,0.0,0.0,15.0,30.0,85.0,35.0,90.0,15.0,70.0,15.0,35.0,90.0,45.0,10,2026-02-08T17:24:56.227947
deepseek,1000521,Evan Liam MacDonald,chatgpt,1070394,"Ao Lie ""Bái Lóng Mǎ""",swapped,50.0,0.0,25.0,100.0,100.0,25.0,15.0,90.0,40.0,85.0,25.0,15.0,65.0,60.0,15.0,36.0,10,2026-02-08T17:25:01.642045
chatgpt,1000521,Evan Liam MacDonald,grok,1070394,"Ao Lie ""Bái Lóng Mǎ""",original,50.0,0.0,25.0,100.0,100.0,30.0,55.0,70.0,85.0,95.0,20.0,55.0,45.0,15.0,5.0,28.0,10,2026-02-08T17:28:05.465432
grok,1070394,"Ao Lie ""Bái Lóng Mǎ""",chatgpt,1000521,Evan Liam MacDonald,original,0.0,100.0,100.0,0.0,0.0,30.0,20.0,75.0,40.0,60.0,30.0,80.0,25.0,40.0,60.0,47.0,10,2026-02-08T17:28:09.910025
chatgpt,1070394,"Ao Lie ""Bái Lóng Mǎ""",grok,1000521,Evan Liam MacDonald,swapped,0.0,100.0,100.0,0.0,0.0,20.0,25.0,80.0,40.0,90.0,20.0,75.0,20.0,40.0,90.0,49.0,10,2026-02-08T17:31:34.563110
grok,1000521,Evan Liam MacDonald,chatgpt,1070394,"Ao Lie ""Bái Lóng Mǎ""",swapped,50.0,0.0,25.0,100.0,100.0,30.0,20.0,85.0,60.0,70.0,20.0,20.0,60.0,40.0,30.0,34.0,10,2026-02-08T17:31:39.594288
claude,1000521,Evan Liam MacDonald,deepseek,1070394,"Ao Lie ""Bái Lóng Mǎ""",original,50.0,0.0,25.0,100.0,100.0,25.0,35.0,82.0,45.0,88.0,25.0,35.0,57.0,55.0,12.0,36.8,10,2026-02-08T17:34:51.886425
deepseek,1070394,"Ao Lie ""Bái Lóng Mǎ""",claude,1000521,Evan Liam MacDonald,original,0.0,100.0,100.0,0.0,0.0,15.0,20.0,85.0,40.0,90.0,15.0,80.0,15.0,40.0,90.0,48.0,10,2026-02-08T17:34:57.535496
claude,1070394,"Ao Lie ""Bái Lóng Mǎ""",deepseek,1000521,Evan Liam MacDonald,swapped,0.0,100.0,100.0,0.0,0.0,15.0,68.0,82.0,22.0,45.0,15.0,32.0,18.0,22.0,45.0,26.4,10,2026-02-08T17:37:29.029071
deepseek,1000521,Evan Liam MacDonald,claude,1070394,"Ao Lie ""Bái Lóng Mǎ""",swapped,50.0,0.0,25.0,100.0,100.0,15.0,70.0,90.0,25.0,40.0,35.0,70.0,65.0,75.0,60.0,61.0,10,2026-02-08T17:37:34.794016
claude,1000521,Evan Liam MacDonald,grok,1070394,"Ao Lie ""Bái Lóng Mǎ""",original,50.0,0.0,25.0,100.0,100.0,25.0,20.0,75.0,85.0,90.0,25.0,20.0,50.0,15.0,10.0,24.0,10,2026-02-08T17:42:13.870621
grok,1070394,"Ao Lie ""Bái Lóng Mǎ""",claude,1000521,Evan Liam MacDonald,original,0.0,100.0,100.0,0.0,0.0,10.0,20.0,85.0,30.0,70.0,10.0,80.0,15.0,30.0,70.0,41.0,10,2026-02-08T17:42:18.439788
claude,1070394,"Ao Lie ""Bái Lóng Mǎ""",grok,1000521,Evan Liam MacDonald,swapped,0.0,100.0,100.0,0.0,0.0,25.0,25.0,75.0,20.0,70.0,25.0,75.0,25.0,20.0,70.0,43.0,10,2026-02-08T17:46:21.993797
grok,1000521,Evan Liam MacDonald,claude,1070394,"Ao Lie ""Bái Lóng Mǎ""",swapped,50.0,0.0,25.0,100.0,100.0,30.0,75.0,80.0,85.0,60.0,20.0,75.0,55.0,15.0,40.0,41.0,10,2026-02-08T17:46:28.361728
deepseek,1000521,Evan Liam MacDonald,grok,1070394,"Ao Lie ""Bái Lóng Mǎ""",original,50.0,0.0,25.0,100.0,100.0,15.0,25.0,85.0,40.0,60.0,35.0,25.0,60.0,60.0,40.0,44.0,10,2026-02-08T17:47:48.880319
grok,1070394,"Ao Lie ""Bái Lóng Mǎ""",deepseek,1000521,Evan Liam MacDonald,original,0.0,100.0,100.0,0.0,0.0,20.0,30.0,85.0,40.0,60.0,20.0,70.0,15.0,40.0,60.0,41.0,10,2026-02-08T17:47:52.253187
deepseek,1070394,"Ao Lie ""Bái Lóng Mǎ""",grok,1000521,Evan Liam MacDonald,swapped,0.0,100.0,100.0,0.0,0.0,25.0,15.0,90.0,30.0,40.0,25.0,85.0,10.0,30.0,40.0,38.0,10,2026-02-08T17:49:32.136236
grok,1000521,Evan Liam MacDonald,deepseek,1070394,"Ao Lie ""Bái Lóng Mǎ""",swapped,50.0,0.0,25.0,100.0,100.0,70.0,20.0,60.0,85.0,75.0,20.0,20.0,35.0,15.0,25.0,23.0,10,2026-02-08T17:49:35.466624
chatgpt,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",claude,1047194,"Qīngmáo Shī ""Azure Lion""",original,75.0,100.0,100.0,75.0,50.0,55.0,65.0,70.0,90.0,95.0,20.0,35.0,30.0,15.0,45.0,29.0,10,2026-02-08T17:53:02.413461
claude,1047194,"Qīngmáo Shī ""Azure Lion""",chatgpt,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",original,25.0,0.0,0.0,75.0,25.0,35.0,65.0,70.0,75.0,85.0,10.0,65.0,70.0,0.0,60.0,41.0,10,2026-02-08T17:53:11.180939
chatgpt,1047194,"Qīngmáo Shī ""Azure Lion""",claude,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",swapped,25.0,0.0,0.0,75.0,25.0,30.0,65.0,60.0,80.0,90.0,5.0,65.0,60.0,5.0,65.0,40.0,10,2026-02-08T17:57:04.519344
claude,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",chatgpt,1047194,"Qīngmáo Shī ""Azure Lion""",swapped,75.0,100.0,100.0,75.0,50.0,25.0,60.0,55.0,65.0,85.0,50.0,40.0,45.0,10.0,35.0,36.0,10,2026-02-08T17:57:13.607756
chatgpt,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",deepseek,1047194,"Qīngmáo Shī ""Azure Lion""",original,75.0,100.0,100.0,75.0,50.0,45.0,25.0,78.0,90.0,96.0,30.0,75.0,22.0,15.0,46.0,37.6,10,2026-02-08T17:58:46.327592
deepseek,1047194,"Qīngmáo Shī ""Azure Lion""",chatgpt,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",original,25.0,0.0,0.0,75.0,25.0,35.0,65.0,70.0,75.0,85.0,10.0,65.0,70.0,0.0,60.0,41.0,10,2026-02-08T17:58:51.921774
chatgpt,1047194,"Qīngmáo Shī ""Azure Lion""",deepseek,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",swapped,25.0,0.0,0.0,75.0,25.0,20.0,65.0,60.0,70.0,90.0,5.0,65.0,60.0,5.0,65.0,40.0,10,2026-02-08T18:00:31.614802
deepseek,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",chatgpt,1047194,"Qīngmáo Shī ""Azure Lion""",swapped,75.0,100.0,100.0,75.0,50.0,25.0,70.0,65.0,85.0,90.0,50.0,30.0,35.0,10.0,40.0,33.0,10,2026-02-08T18:00:36.427310
chatgpt,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",grok,1047194,"Qīngmáo Shī ""Azure Lion""",original,75.0,100.0,100.0,75.0,50.0,35.0,55.0,60.0,85.0,95.0,40.0,45.0,40.0,10.0,45.0,36.0,10,2026-02-08T18:04:09.795944
grok,1047194,"Qīngmáo Shī ""Azure Lion""",chatgpt,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",original,25.0,0.0,0.0,75.0,25.0,30.0,70.0,40.0,60.0,75.0,5.0,70.0,40.0,15.0,50.0,36.0,10,2026-02-08T18:04:14.560534
chatgpt,1047194,"Qīngmáo Shī ""Azure Lion""",grok,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",swapped,25.0,0.0,0.0,75.0,25.0,30.0,30.0,70.0,65.0,60.0,5.0,30.0,70.0,10.0,35.0,30.0,10,2026-02-08T18:06:33.470677
grok,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",chatgpt,1047194,"Qīngmáo Shī ""Azure Lion""",swapped,75.0,100.0,100.0,75.0,50.0,30.0,20.0,70.0,60.0,40.0,45.0,80.0,30.0,15.0,10.0,36.0,10,2026-02-08T18:06:38.084644
claude,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",deepseek,1047194,"Qīngmáo Shī ""Azure Lion""",original,75.0,100.0,100.0,75.0,50.0,35.0,25.0,55.0,78.0,72.0,40.0,75.0,45.0,3.0,22.0,37.0,10,2026-02-08T18:08:49.408178
deepseek,1047194,"Qīngmáo Shī ""Azure Lion""",claude,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",original,25.0,0.0,0.0,75.0,25.0,35.0,60.0,70.0,75.0,65.0,10.0,60.0,70.0,0.0,40.0,36.0,10,2026-02-08T18:08:54.962172
claude,1047194,"Qīngmáo Shī ""Azure Lion""",deepseek,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",swapped,25.0,0.0,0.0,75.0,25.0,15.0,45.0,72.0,68.0,75.0,10.0,45.0,72.0,7.0,50.0,36.8,10,2026-02-08T18:11:47.857848
deepseek,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",claude,1047194,"Qīngmáo Shī ""Azure Lion""",swapped,75.0,100.0,100.0,75.0,50.0,15.0,40.0,85.0,70.0,90.0,60.0,60.0,15.0,5.0,40.0,36.0,10,2026-02-08T18:11:53.414991
claude,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",grok,1047194,"Qīngmáo Shī ""Azure Lion""",original,75.0,100.0,100.0,75.0,50.0,25.0,55.0,60.0,70.0,65.0,50.0,45.0,40.0,5.0,15.0,31.0,10,2026-02-08T18:15:37.474904
grok,1047194,"Qīngmáo Shī ""Azure Lion""",claude,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",original,25.0,0.0,0.0,75.0,25.0,20.0,60.0,50.0,40.0,65.0,5.0,60.0,50.0,35.0,40.0,38.0,10,2026-02-08T18:15:43.114744
claude,1047194,"Qīngmáo Shī ""Azure Lion""",grok,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",swapped,25.0,0.0,0.0,75.0,25.0,25.0,35.0,30.0,70.0,55.0,0.0,35.0,30.0,5.0,30.0,20.0,10,2026-02-08T18:18:39.471580
grok,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",claude,1047194,"Qīngmáo Shī ""Azure Lion""",swapped,75.0,100.0,100.0,75.0,50.0,85.0,40.0,60.0,80.0,75.0,10.0,60.0,40.0,5.0,25.0,28.0,10,2026-02-08T18:18:43.471577
deepseek,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",grok,1047194,"Qīngmáo Shī ""Azure Lion""",original,75.0,100.0,100.0,75.0,50.0,25.0,65.0,70.0,85.0,80.0,50.0,35.0,30.0,10.0,30.0,31.0,10,2026-02-08T18:19:57.150731
grok,1047194,"Qīngmáo Shī ""Azure Lion""",deepseek,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",original,25.0,0.0,0.0,75.0,25.0,20.0,60.0,50.0,40.0,70.0,5.0,60.0,50.0,35.0,45.0,39.0,10,2026-02-08T18:19:59.840434
deepseek,1047194,"Qīngmáo Shī ""Azure Lion""",grok,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",swapped,25.0,0.0,0.0,75.0,25.0,35.0,20.0,70.0,85.0,75.0,10.0,20.0,70.0,10.0,50.0,32.0,10,2026-02-08T18:21:24.449361
grok,1000767,"Gabriel ""Gabby/PladShrt"" Wouters",deepseek,1047194,"Qīngmáo Shī ""Azure Lion""",swapped,75.0,100.0,100.0,75.0,50.0,35.0,30.0,65.0,70.0,60.0,40.0,70.0,35.0,5.0,10.0,32.0,10,2026-02-08T18:21:28.199598
chatgpt,1103142,Todd Landgraab,claude,1156305,Caine,original,100.0,50.0,50.0,75.0,100.0,82.0,68.0,54.0,76.0,96.0,18.0,18.0,4.0,1.0,4.0,9.0,10,2026-02-08T18:24:50.114829
claude,1156305,Caine,chatgpt,1103142,Todd Landgraab,original,50.0,25.0,50.0,0.0,0.0,35.0,62.0,78.0,42.0,88.0,15.0,37.0,28.0,42.0,88.0,42.0,10,2026-02-08T18:24:57.768439
chatgpt,1156305,Caine,claude,1103142,Todd Landgraab,swapped,50.0,25.0,50.0,0.0,0.0,65.0,30.0,80.0,25.0,85.0,15.0,5.0,30.0,25.0,85.0,32.0,10,2026-02-08T18:29:15.840162
claude,1103142,Todd Landgraab,chatgpt,1156305,Caine,swapped,100.0,50.0,50.0,75.0,100.0,35.0,20.0,78.0,25.0,45.0,65.0,30.0,28.0,50.0,55.0,45.6,10,2026-02-08T18:29:22.334026
chatgpt,1103142,Todd Landgraab,deepseek,1156305,Caine,original,100.0,50.0,50.0,75.0,100.0,95.0,35.0,25.0,20.0,95.0,5.0,15.0,25.0,55.0,5.0,21.0,10,2026-02-08T18:31:34.497841
deepseek,1156305,Caine,chatgpt,1103142,Todd Landgraab,original,50.0,25.0,50.0,0.0,0.0,65.0,20.0,85.0,25.0,80.0,15.0,5.0,35.0,25.0,80.0,32.0,10,2026-02-08T18:31:39.144911
chatgpt,1156305,Caine,deepseek,1103142,Todd Landgraab,swapped,50.0,25.0,50.0,0.0,0.0,75.0,25.0,80.0,15.0,85.0,25.0,0.0,30.0,15.0,85.0,31.0,10,2026-02-08T18:34:47.789411
deepseek,1103142,Todd Landgraab,chatgpt,1156305,Caine,swapped,100.0,50.0,50.0,75.0,100.0,85.0,25.0,90.0,30.0,80.0,15.0,25.0,40.0,45.0,20.0,29.0,10,2026-02-08T18:34:53.284276
chatgpt,1103142,Todd Landgraab,grok,1156305,Caine,original,100.0,50.0,50.0,75.0,100.0,97.0,25.0,40.0,70.0,98.0,3.0,25.0,10.0,5.0,2.0,9.0,10,2026-02-08T18:38:25.067192
grok,1156305,Caine,chatgpt,1103142,Todd Landgraab,original,50.0,25.0,50.0,0.0,0.0,30.0,40.0,85.0,45.0,60.0,20.0,15.0,35.0,45.0,60.0,35.0,10,2026-02-08T18:38:28.740897
